#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
51,"You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani, Blake Shelton",42,93,"country","Country","You Make It Feel Like Christmas",2017-09-22,02:37,64,87,2,0,91,0,10,-4,D minor,4,2025-11-24,6AmX1prfczuShQeuL54TVN,"UMGRI Interscope",7A,USUM71708114
52,"Cozy Little Christmas","Katy Perry",71,137,"pop","Pop","Cozy Little Christmas",2018-11-15,03:02,77,61,13,0,56,10,0,-6,G,4,2025-11-24,02FaKXXL7KUtRc7K0k54tL,"Capitol Records",9B,USUM71819190
53,"Do They Know It's Christmas? - 1984 Version","Band Aid",0,115,"christmas","Pop","Do They Know Its Christmas?",2004-01-01,03:42,60,64,16,0,35,0,10,-7,C,4,2025-11-24,1hvpDAxZPKjKztOc72sv06,"Mercury",8B,GBF088400001
54,"Joulun kellot kajahtaa","Teleks, Kaihon Karavaani",31,78,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Kaihon Karavaanin Joulu",2020-11-13,04:18,45,38,47,54,7,0,0,-10,F,4,2025-11-24,7FyMp0EqmeIifUacg2d1G4,"Universal Music Oy",7B,FIUM72000429
55,"Christmas (Baby Please Come Home)","Darlene Love",80,127,"christmas","Pop","Christmas (Baby, Please Come Home)",2020-12-04,02:46,33,76,40,0,36,0,0,-7,G#/A♭,4,2025-11-24,47ohYW8e7dxCYn9qbUMBCI,"Legacy Recordings",4B,USSM10905172
56,"Armon tähti","Jepa Lambert, Lenni-Kalle Taipale",32,108,"finnish hip hop, finnish pop, iskelmä","Hip Hop, Pop, Traditional Music","Armon tähti",2023-11-19,04:06,36,18,93,0,21,0,0,-10,B,3,2025-11-24,1hJVrBJylEPDJ86VI7nHQg,"Jepa Lambert",1B,FIAC52300002
57,"Dear Santa","OneRepublic",64,145,"soft pop","Pop","Dear Santa",2023-10-20,02:49,55,82,26,0,80,0,10,-6,B,4,2025-11-24,5zqzV32ifPJ9XhqfyjYrBy,"Mosley Music/Interscope Records",1B,USUM72313745
58,"Lumihiutaleet","Ollie",33,75,"finnish pop, iskelmä","Pop, Traditional Music","Lumihiutaleet",2018-11-02,02:53,49,47,33,0,41,0,10,-8,G#/A♭,4,2025-11-24,1HCkDEJJMM7XhDxhJJVwI6,"Universal Music Oy",4B,FIUM71800489
59,"Someday At Christmas","Stevie Wonder",70,101,"motown, classic soul, soul","R&B, Pop, Blues","Someday At Christmas (Expanded Edition)",1967-00-00,02:48,45,48,72,0,30,0,30,-8,F,4,2025-11-24,0OdTRhhGt8aq4UXh67CKQg,"UNI/MOTOWN",7B,USMO16782672
60,"Heinillä härkien kaukalon","Vesa-Matti Loiri",38,69,"iskelmä, finnish pop, finnish rock, christmas","Pop, Rock, Traditional Music","Sydämeeni joulun teen",1988-00-00,03:11,34,18,83,5,16,0,10,-17,A minor,4,2025-11-24,7zGAw542Yr5WA7hyF9FCKR,"WEA",8A,FIFMF9800224
