#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
121,"Lean On (feat. MØ & DJ Snake)","Major Lazer, MØ, DJ Snake",69,98,"moombahton","Electronic, Latin","Peace Is The Mission : Extended",2015-11-27,02:56,72,81,0,0,27,0,50,-3,G minor,4,2025-01-15,2YWjW3wwQIBLNhxWKBQd16,"Third Pardee Records",6A,QMUY41500008
122,"Mikä boogie","Fintelligens",41,113,"finnish hip hop, finnish pop","Hip Hop, Pop","Mun tie tai maantie",2010-01-01,03:12,91,70,3,0,86,10,0,-2,F#/G♭ minor,4,2025-01-15,0TIgM6L2db1fqqgdB8clhI,"Universal Music Oy",11A,FI5RR0900049
123,"Puhelinlangat laulaa","Katri Helena",32,171,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Vaalea valloittaja",1965-00-00,02:24,59,33,86,0,75,0,10,-12,D minor,4,2025-01-15,16u7VaQftmMu4ciA011z9X,"WM Finland",7A,FIFPS6400500
124,"Mennyt mies","J. Karjalainen",49,124,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Et ole yksin",2013-02-18,04:15,59,86,0,0,66,0,0,-5,B minor,4,2025-01-15,0thSyp6VHdgcQsSuoYEdOJ,"WM Finland",10A,FIWMA1200436
125,"Freestyler","Bomfunk MC's",59,164,"eurodance","Electronic, Pop","In Stereo",1999-06-02,05:06,82,93,3,38,55,10,20,-6,B minor,4,2025-01-15,2vlgOAH3M8Fmo19wOjeRyw,"Epidrome",10A,FISME9900023
126,"Sata salamaa","Virve Rosti",37,134,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Sata salamaa",1987-00-00,03:04,64,79,27,0,77,0,30,-8,G,4,2025-01-15,25ALNBmSr1dT3z1sNSLqIu,"WM Finland",9B,FIFLF8700800
127,"Tinakenkätyttö","Kaija Koo",45,140,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Tinakenkätyttö",1999-01-01,04:28,59,72,8,0,63,0,0,-8,C minor,4,2025-01-15,2NVfzcoW1UgEJXg8GyvPfH,"Universal Music Oy",5A,FIPFP9900128
128,"Kesäkatu","Danny",36,115,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Dannyn parhaita",1973-00-00,02:33,58,58,60,0,64,0,0,-11,F minor,4,2025-01-15,3gFmdwuELZGrSCghc3CWWr,"WM Finland",4A,FIFSC6600600
129,"Suga Suga","Baby Bash, Frankie J",73,82,"","","Tha Smokin' Nephew",2003-01-01,03:59,66,75,69,0,54,20,0,-3,F minor,4,2025-01-15,6Nq5lE0CeOAAAqN4qhkbZU,"Universal Records",4A,USUR10300765
130,"What Is Love - 7  Mix","Haddaway",2,124,"eurodance","Electronic, Pop","The Album 2nd Edition",1993-11-29,04:30,68,77,2,2,74,0,20,-8,G minor,4,2025-01-15,3NvS0SxNWIPiAJoPWUpZzr,"Coconut Music",6A,DEA410500401
131,"Toy Soldiers","Martika",62,130,"","","Martika (Expanded Edition)",1988-06-01,04:47,51,59,41,0,17,0,10,-6,C♯/D♭ minor,4,2025-01-15,4jh9olf0OKCokpzxSyLeJx,"Columbia/Legacy",12A,USSM18800406
132,"Pauhaava sydän","Lauri Tähkä & Elonkerjuu",20,143,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Kirkkahimmat 2000-2008",2008-01-01,03:21,60,88,6,0,92,0,20,-5,G#/A♭ minor,4,2025-01-15,6sy7VE6RS6RB432hENgb6X,"Universal Music Oy",1A,FIUM70700447
